_station1,_station2,_line
11,212,1
49,87,1
82,163,1
87,279,1
113,298,1
114,140,1
137,206,1
140,237,1
143,159,1
148,84,1
159,278,1
163,11,1
185,281,1
192,197,1
193,82,1
197,49,1
206,143,1
212,192,1
237,185,1
246,113,1
278,193,1
279,148,1
281,246,1
298,137,1
13,250,2
16,91,2
24,156,2
28,162,2
37,301,2
48,126,2
51,215,2
68,158,2
76,181,2
88,256,2
91,109,2
98,173,2
103,51,2
105,177,2
109,103,2
112,196,2
126,259,2
127,226,2
149,208,2
153,247,2
154,153,2
154,275,2
156,13,2
158,37,2
162,149,2
164,24,2
173,16,2
177,239,2
181,112,2
181,286,2
186,127,2
192,28,2
196,105,2
208,186,2
211,98,2
215,301,2
221,294,2
226,296,2
230,154,2
239,221,2
241,230,2
247,164,2
250,48,2
256,68,2
259,192,2
275,211,2
286,72,2
296,76,2
301,241,2
2,263,3
11,104,3
13,44,3
14,167,3
18,193,3
25,255,3
44,161,3
83,11,3
87,285,3
90,145,3
92,14,3
99,122,3
101,227,3
104,90,3
110,101,3
122,186,3
145,92,3
147,283,3
150,147,3
156,2,3
161,25,3
167,156,3
186,18,3
193,83,3
218,193,3
227,355,3
229,236,3
236,99,3
248,273,3
255,87,3
263,13,3
273,229,3
283,218,3
285,248,3
355,150,3
1,73,4
3,263,4
13,44,4
15,78,4
17,360,4
18,193,4
21,269,4
25,255,4
33,164,4
36,33,4
44,161,4
52,1,4
66,67,4
67,21,4
73,72,4
74,122,4
74,138,4
74,287,4
74,293,4
78,270,4
80,231,4
85,66,4
87,285,4
96,195,4
99,74,4
108,141,4
122,186,4
129,85,4
141,213,4
161,25,4
164,244,4
186,18,4
193,83,4
195,205,4
200,289,4
205,80,4
209,242,4
229,236,4
231,300,4
236,99,4
242,265,4
244,295,4
248,273,4
255,87,4
263,13,4
265,52,4
265,108,4
267,268,4
268,129,4
269,15,4
270,200,4
273,229,4
285,248,4
287,96,4
289,36,4
293,17,4
295,3,4
300,299,4
360,209,4
26,349,5
41,253,5
313,327,5
108,344,5
113,298,5
114,140,5
123,312,5
137,206,5
138,287,5
140,237,5
141,108,5
175,364,5
185,281,5
206,336,5
213,141,5
216,41,5
225,276,5
226,138,5
228,295,5
235,89,5
237,185,5
246,113,5
253,174,5
253,175,5
253,343,5
276,216,5
281,246,5
287,333,5
290,319,5
295,225,5
298,137,5
298,226,5
298,334,5
366,298,5
367,340,5
364,331,5
365,290,5
308,365,5
309,313,5
310,123,5
311,310,5
312,316,5
312,317,5
314,350,5
316,324,5
317,322,5
318,314,5
319,325,5
320,361,5
321,335,5
321,362,5
322,330,5
323,247,5
324,332,5
325,321,5
326,345,5
327,328,5
328,114,5
330,323,5
331,320,5
332,228,5
333,315,5
334,308,5
335,311,5
336,235,5
338,339,5
339,351,5
340,354,5
341,318,5
342,367,5
343,341,5
344,366,5
345,26,5
349,338,5
350,315,5
351,356,5
352,309,5
353,352,5
356,15,5
358,326,5
361,342,5
361,359,5
362,358,5
3,295,6
11,104,6
14,167,6
33,36,6
36,289,6
78,15,6
83,11,6
90,145,6
92,14,6
101,110,6
101,227,6
104,90,6
145,92,6
147,283,6
150,147,6
150,355,6
355,227,6
156,3,6
164,33,6
167,156,6
193,83,6
200,270,6
218,193,6
227,355,6
244,164,6
270,78,6
283,218,6
289,200,6
295,244,6
355,150,6
11,28,7
23,41,7
28,107,7
41,42,7
42,183,7
43,289,7
45,207,7
71,297,7
94,254,7
107,285,7
142,290,7
144,282,7
157,23,7
172,71,7
183,43,7
207,144,7
233,157,7
243,45,7
249,11,7
254,249,7
279,233,7
282,172,7
285,279,7
289,247,7
290,94,7
297,142,7
2,156,8
6,46,8
11,94,8
14,92,8
46,50,8
46,53,8
62,280,8
75,210,8
75,222,8
90,104,8
92,145,8
94,282,8
104,11,8
115,184,8
115,291,8
125,271,8
134,125,8
145,90,8
156,167,8
167,14,8
168,62,8
168,179,8
168,214,8
178,115,8
179,180,8
184,199,8
199,180,8
202,178,8
210,291,8
214,53,8
220,134,8
222,220,8
282,202,8
7,145,9
8,124,9
12,56,9
13,167,9
22,111,9
29,157,9
34,119,9
38,81,9
40,47,9
40,89,9
40,139,9
47,22,9
49,151,9
54,55,9
55,245,9
56,54,9
58,38,9
59,258,9
77,93,9
77,165,9
84,29,9
87,49,9
89,145,9
89,170,9
89,277,9
90,40,9
90,170,9
93,165,9
93,288,9
100,34,9
102,277,9
111,100,9
119,58,9
124,77,9
136,84,9
136,279,9
139,264,9
145,90,9
151,259,9
157,13,9
167,188,9
169,240,9
170,40,9
188,7,9
191,136,9
240,59,9
245,191,9
257,12,9
258,257,9
259,102,9
261,121,9
264,8,9
277,90,9
279,87,9
288,302,9
302,261,9
1,73,10
1,234,10
5,252,10
9,31,10
10,128,10
17,360,10
30,190,10
31,303,10
39,145,10
57,187,10
60,151,10
73,182,10
74,17,10
75,222,10
95,10,10
99,74,10
107,133,10
116,117,10
116,118,10
117,118,10
117,329,10
125,271,10
126,60,10
128,39,10
130,132,10
131,130,10
132,116,10
133,146,10
134,125,10
145,223,10
146,236,10
151,197,10
160,95,10
176,30,10
182,194,10
187,232,10
190,131,10
194,5,10
197,107,10
210,75,10
220,134,10
222,220,10
223,126,10
232,9,10
234,176,10
236,99,10
251,210,10
252,251,10
265,1,10
266,160,10
303,266,10
360,265,10
26,260,11
89,145,11
89,277,11
95,123,11
107,273,11
123,145,11
145,277,11
192,107,11
198,272,11
224,95,11
245,35,11
260,224,11
272,245,11
273,198,11
274,26,11
277,192,11
279,13,12
4,201,13
20,65,13
27,79,13
32,70,13
42,120,13
43,219,13
43,304,13
61,171,13
63,203,13
64,106,13
65,97,13
69,86,13
70,337,13
79,43,13
86,152,13
97,19,13
106,69,13
120,238,13
135,64,13
155,225,13
171,135,13
201,27,13
201,284,13
201,292,13
203,217,13
204,32,13
217,20,13
219,63,13
225,13,13
225,262,13
238,61,13
247,204,13
247,347,13
284,155,13
284,292,13
289,346,13
292,42,13
304,305,13
305,306,13
306,307,13
307,357,13
337,4,13
346,43,13
347,363,13
348,247,13
363,289,13
55,314,14
296,355,14
33,32,14
360,110,14
263,262,14
